Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Aruba,ABW,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Aruba,ABW,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.1550045,9.91078568
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5364.54296875,5427.46240234
Australia,AUS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.29709959,7.10425138
Australia,AUS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3689.90078678,3890.51439862
Australia,AUS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,31.21686363,28.31803894
Australia,AUS,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1674.64183247,1536.95206312
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.31750679,10.43403149
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5322.26269531,5242.18310547
Austria,AUT,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.48925352,7.6176486
Austria,AUT,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3863.31498328,3827.19825686
Austria,AUT,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,27.41217613,26.99225616
Austria,AUT,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1458.94808199,1414.98351148
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.55621028,4.03829002
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,168.39164734,193.10884094
Azerbaijan,AZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.92868197,1.28157103
Azerbaijan,AZE,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,43.97442155,61.28403363
Azerbaijan,AZE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,73.22861481,67.96251678
Azerbaijan,AZE,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,123.31086593,131.24163322
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.92999935,5.74977493
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2002.41296387,2004.61633301
"Bahamas, The",BHS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.96176958,2.98772573
"Bahamas, The",BHS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,1000.11577909,1041.64834169
"Bahamas, The",BHS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,49.52278519,47.52725601
"Bahamas, The",BHS,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,991.65069049,952.73912936
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.14378214,4.01147509
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,994.17901611,940.39569092
Bahrain,BHR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.43788433,2.3749764
Bahrain,BHR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,584.89891239,556.75720436
Bahrain,BHR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,41.16764832,40.79542923
Bahrain,BHR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,409.2801251,383.63846889
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.50803041,2.48357606
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,41.90407562,45.85716248
Bangladesh,BGD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.42589214,0.46258456
Bangladesh,BGD,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,7.1157897,8.54123854
Bangladesh,BGD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,76.49461365,75.25727081
Bangladesh,BGD,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,32.05437139,34.51084634
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.56259155,6.29990387
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1164.54455566,1143.32202148
Barbados,BRB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.93843102,2.82451534
Barbados,BRB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,521.43027343,512.59995323
Barbados,BRB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,54.03665924,54.27687836
Barbados,BRB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,629.28092574,620.55947102
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.52699471,5.86133957
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,351.00680542,399.39709473
Belarus,BLR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.9000001,4.12527084
Belarus,BLR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,247.68008379,281.09976022
Belarus,BLR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.23060417,29.47942924
Belarus,BLR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,102.60140514,117.7399783
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.76469994,10.65604973
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5134.41455078,4960.39355469
Belgium,BEL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.26992512,8.18138885
Belgium,BEL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3944.48729309,3808.43816884
Belgium,BEL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,23.17552185,23.22304344
Belgium,BEL,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1189.92740275,1151.95435338
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.81922674,5.96689224
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,285.97033691,293.41259766
Belize,BLZ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.99211764,4.16896009
Belize,BLZ,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,196.18195147,205.00211731
Belize,BLZ,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,28.90022659,27.14195824
Belize,BLZ,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,82.64608061,79.63792804
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.50416446,2.38842916
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,31.07242012,29.12529182
Benin,BEN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.4908835,0.54099613
Benin,BEN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,6.09102944,6.59708499
Benin,BEN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,50.35248566,53.01073074
Benin,BEN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,15.64573608,15.43953105
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Bermuda,BMU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Bermuda,BMU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Bermuda,BMU,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Bermuda,BMU,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Bermuda,BMU,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.2427721,3.60761595
Bhutan,BTN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,102.73851776,115.98075867
Bhutan,BTN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.57960916,2.6540451
Bhutan,BTN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,81.7279877,85.32454068
Bhutan,BTN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,14.39869881,19.4673481
Bhutan,BTN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,14.79301053,22.57837704
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.64209032,6.9233799
Bolivia,BOL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,235.70088196,245.92347717
Bolivia,BOL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.835742,4.93192387
Bolivia,BOL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,171.60088554,175.18552244
Bolivia,BOL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,25.5754528,27.63630486
Bolivia,BOL,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,60.28156387,67.96416144
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.89146042,9.04909897
Bosnia and Herzegovina,BIH,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,539.91003418,553.82293701
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.21219301,6.21883726
Bosnia and Herzegovina,BIH,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,377.21874829,380.60522762
Bosnia and Herzegovina,BIH,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.70884514,29.73446846
Bosnia and Herzegovina,BIH,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,160.40102934,164.6762955
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.96867228,6.04836559
Botswana,BWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,494.19546509,481.53305054
Botswana,BWA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.68888426,4.74940634
Botswana,BWA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,388.23126205,378.11800433
Botswana,BWA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,15.18728447,15.32737446
Botswana,BWA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,75.05486848,73.80637296
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.46475124,9.5912714
Brazil,BRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,866.15539551,853.38793945
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.88923883,3.90755868
Brazil,BRA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,355.91903424,347.67692994
Brazil,BRA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,58.82275772,59.11333466
Brazil,BRA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,509.49648297,504.46608826
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
British Virgin Islands,VGB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
British Virgin Islands,VGB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
British Virgin Islands,VGB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
British Virgin Islands,VGB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
British Virgin Islands,VGB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.41289377,2.16031361
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,763.14569092,671.56268311
Brunei Darussalam,BRN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.29566693,2.03760552
Brunei Darussalam,BRN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,726.06939329,633.41721174
Brunei Darussalam,BRN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,4.85835171,5.68010855
Brunei Darussalam,BRN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,37.07630221,38.14549051
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.3434248,7.12611389
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,689.90539551,697.8963623
Bulgaria,BGR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.23249435,4.21549892
Bulgaria,BGR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,397.63744044,412.84511231
Bulgaria,BGR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,42.3634758,40.8441391
Bulgaria,BGR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,292.26788429,285.04874017
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.90988731,5.46494246
Burkina Faso,BFA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,40.26911545,42.3445282
Burkina Faso,BFA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.0870657,2.28508854
Burkina Faso,BFA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,17.11735616,17.7057667
Burkina Faso,BFA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,42.30842972,42.38819504
Burkina Faso,BFA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,17.03723027,17.94908109
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.2447691,7.99091434
Burundi,BDI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,22.40539742,20.56754112
Burundi,BDI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.28904033,2.66726708
Burundi,BDI,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,6.22053323,6.86518735
Burundi,BDI,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,39.63681412,40.96768951
Burundi,BDI,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,8.88078613,8.4260468
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.26637983,4.93621731
Cabo Verde,CPV,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,190.45559692,177.89027405
Cabo Verde,CPV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.20918369,3.24621487
Cabo Verde,CPV,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,116.05828874,116.98636049
Cabo Verde,CPV,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.66669846,27.39300728
Cabo Verde,CPV,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,56.50188982,48.72949226
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.18275642,6.98908329
Cambodia,KHM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,92.90358734,113.31044006
Cambodia,KHM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.66258287,1.69888663
Cambodia,KHM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,24.98236818,27.54318045
Cambodia,KHM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,66.61171722,69.18743134
Cambodia,KHM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,61.8846752,78.39658811
Cameroon,CMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.46510625,3.59539533
Cameroon,CMR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,53.17176819,53.99584961
Cameroon,CMR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.21044466,0.12061489
Cameroon,CMR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.22925578,1.8114012
Cameroon,CMR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,85.22342682,82.43981934
Cameroon,CMR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,45.31480416,44.51408246
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.80637455,10.84447765
Canada,CAN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5018.71142578,5048.37255859
Canada,CAN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.58277988,7.60929585
Canada,CAN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3521.60526314,3542.31549705
Canada,CAN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.83049202,29.83252716
Canada,CAN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1497.10624551,1506.05718408
Cayman Islands,CYM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Cayman Islands,CYM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Cayman Islands,CYM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Cayman Islands,CYM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Cayman Islands,CYM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Cayman Islands,CYM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Central African Republic,CAF,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.99530983,7.75300884
Central African Republic,CAF,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,53.6903801,37.19958115
Central African Republic,CAF,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.68856221,0.81950128
Central African Republic,CAF,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.36226694,3.9320352
Central African Republic,CAF,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,42.36107254,61.30540466
Central African Republic,CAF,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,22.74382071,22.805353
Chad,TCD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.1669445,4.3536315
Chad,TCD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,29.69879913,29.85083008
Chad,TCD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.69780171,0.75380653
Chad,TCD,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,4.9733974,5.16850142
Chad,TCD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,67.85359192,62.25108337
Chad,TCD,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,20.15170086,18.58246682
Channel Islands,CHI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Channel Islands,CHI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Channel Islands,CHI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Channel Islands,CHI,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Channel Islands,CHI,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Channel Islands,CHI,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.15850449,9.33272362
Chile,CHL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1455.11669922,1375.80297852
Chile,CHL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.65451193,4.7519598
Chile,CHL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,739.51575018,700.52022884
Chile,CHL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,49.17825317,49.08281326
Chile,CHL,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,715.60100019,675.28285549
