,Lat,Long,Store_Name,Store_number,Gas_or_Diesel,No_Overnight_Parking,Phone_Number,Address,Country,Province_or_State
36,-113.568259,53.268594,Walmart Supercentre,3657,Neither,0,(780) 986-7574,"5302 Discovery Way, Leduc, AB T9E 8J7",Canada,AB
37,-112.791108,49.728593,Walmart Supercentre,1078,Neither,0,(403) 380-6722,"3195 26th Ave N, Lethbridge, AB T1H 5P4",Canada,AB
38,-112.795234,49.65775,Walmart Supercentre,3048,Neither,0,(403) 328-6277,"3700 Mayor Magrath Dr S, Lethbridge, AB T1K 7T6",Canada,AB
39,-110.049273,53.27654,Walmart Supercentre,3168,Gas,0,(780) 875-4777,"4210 70th Ave, Lloydminster, AB T9V 2X3",Canada,AB
40,-110.642617,49.995015,Walmart Supercentre,3150,Neither,0,(403) 504-4410,"2051 Strachan Rd SE, Medicine Hat, AB T1B 4J8",Canada,AB
41,-113.977544,50.714099,Walmart Supercentre,5708,Neither,0,(403) 995-1371,"500 - 201 SouthRidge Dr, Okotoks, AB T1S 2C8",Canada,AB
42,-114.141037,51.799211,Walmart Supercentre,1084,Neither,0,(403) 556-3844,"6900 46th St, Olds OA2 AB T4H",Canada,AB
43,-117.339138,56.2367,Walmart Supercentre,1068,Neither,0,(708) 624-8911,"9701 78th St, Peace River, AB T8S 0A3",Canada,AB
44,-113.947413,49.497742,Walmart Supercentre,1070,Neither,0,(403) 627-1790,"1100 Table Mountain Rd, Pincher Creek, AB T0K 1W0",Canada,AB
45,-113.81431,52.23347,Walmart Supercentre,3194,Neither,0,(403) 358-5842,"2010 50 Ave, Red Deer, AB T4R 3A2",Canada,AB
46,-113.812575,52.286129,Walmart Supercentre,3075,Neither,0,(403) 346-6650,"6375 50th Ave, Red Deer, AB T4N 4C7",Canada,AB
47,-113.633174,53.659257,Walmart Supercentre,3087,Neither,1,(780) 458-1629,"700 Saint Albert Rd, Saint Albert, AB T8N 7A5",Canada,AB
48,-114.062149,50.900758,Walmart Supercentre,3151,Gas,1,(403) 201-5415,"100 - 310 Shawville Blvd, Shawnessy, AB T2Y 3S4",Canada,AB
49,-113.318006,53.511029,Walmart Supercentre,3154,Gas,0,(780) 464-2105,"239 Wye Rd, Sherwood Park, AB T8B 1N1",Canada,AB
50,-113.279915,53.568364,Walmart Supercentre,1123,Neither,0,(780) 464-0418,"400-7000 Emerald Dr, Sherwood Park, AB T8H 0P5",Canada,AB
51,-114.784367,55.272669,Walmart Supercentre,1030,Neither,0,(780) 849-9579,"601 - 1500 Main St SW, Slave Lake, AB T0G 2A4",Canada,AB
52,-113.931937,53.539693,Walmart Supercentre,3637,Neither,0,(780) 962-9002,"90 Campsite Rd, Spruce Grove, AB T7X 4H4",Canada,AB
53,-112.738479,52.324303,Walmart Supercentre,1034,Neither,0,(403) 742-4404,"4721 70 St, Stettler, AB T0C 2L1",Canada,AB
54,-113.381997,51.038849,Walmart Supercentre,1049,Neither,0,(403) 934-9776,"200 Ranch Market, Strathmore, AB T1P 0A1",Canada,AB
55,-114.063359,52.305462,Walmart Supercentre,1102,Neither,1,(403) 887-7590,"3420 47th Ave, Sylvan Lake, AB T4S 0B6",Canada,AB
56,-112.128097,49.783451,Walmart,1046,Neither,0,(403) 223-3458,"4500 64 St, Taber, AB T1G 0A4",Canada,AB
57,-112.082576,53.502912,Walmart Supercentre,1071,Neither,0,(780) 632-6016,"6809 Hwy 16A W, Vegreville, AB T9C 0A2",Canada,AB
58,-110.827387,52.841926,Walmart Supercentre,1062,Neither,0,(780) 842-3144,"2901 13th Ave, Wainwright, AB T9W 0A1",Canada,AB
59,-113.393672,52.953464,Walmart Supercentre,3112,Neither,0,(780) 352-8093,"3600 56 St, Wetaskiwin, AB T9A 3T5",Canada,AB
60,-115.668503,54.141354,Walmart Supercentre,1009,Neither,0,(780) 706-3323,"5005 Dahl Dr, Whitecourt, AB T7S 1P6",Canada,AB
61,-149.881507,61.192165,Walmart Supercenter,2070,Neither,1,(907) 563-5900,"3101 A St, Anchorage, AK, 99503 ",USA,AK
62,-149.74255,61.21274,Walmart Supercenter,4359,Neither,1,(907) 339-9039,"7405 Debarr Rd, Anchorage, AK, 99504 ",USA,AK
63,-149.868161,61.140234,Walmart Supercenter,2071,Neither,1,(907) 344-5300,"8900 Old Seward Hwy, Anchorage, AK, 99515 ",USA,AK
64,-149.535324,61.30978,Walmart Supercenter,2188,Neither,1,(907) 694-9780,"18600 Eagle River Rd, Eagle River, AK, 99577 ",USA,AK
65,-147.688971,64.857356,Walmart Supercenter,2722,Neither,0,(907) 451-9900,"537 Johansen Expy, Fairbanks, AK, 99701 ",USA,AK
66,-151.226631,60.564167,Walmart Supercenter,4474,Neither,0,(907) 395-0971,"10096 Kenai Spur, Kenai, AK, 99611 ",USA,AK
67,-131.720364,55.376113,Walmart,2710,Neither,0,(907) 247-2156,"4230 Don King Rd, Ketchikan, AK, 99901 ",USA,AK
68,-152.36445,57.811389,Walmart,2711,Neither,0,(907) 481-1670,"2911 Mill Bay Rd, Kodiak, AK, 99615 ",USA,AK
69,-149.362998,61.568711,Walmart Supercenter,2074,Neither,0,(907) 376-9780,"1350 S Seward Meridian Pkwy, Wasilla, AK, 99654 ",USA,AK
70,-86.803848,33.235798,Murphy: USA,7687,Gas/Diesel,0,(205) 685-9750,"560 Colonial Promenade Pkwy; I-65 Exit 238 Alabaster, AL, 35007 ",USA,AL
71,-86.80236,33.235791,Walmart Supercenter,0423,Gas/Diesel,0,(205) 620-0360,"630 Colonial Promenade Pkwy; I-65 Exit 238 Alabaster, AL, 35007 ",USA,AL
72,-86.828684,33.211457,Wm Nbrhd Mkt,4756,Gas,0,(205) 624-6229,"9085 Hwy 119; I 65 Exit 238 Alabaster, AL, 35007 ",USA,AL
73,-85.9783568,32.9396785,Murphy: USA,5684,Gas,0,(256) 234-0415,"2507 Hwy 280 Alexander City, AL, 35010 ",USA,AL
74,-85.976666,32.940771,Walmart Supercenter,0726,Gas,0,(256) 234-0316,"2643 Hwy 280 Alexander City, AL, 35010 ",USA,AL
75,-86.445471,31.320815,Walmart Supercenter,1091,Gas/Diesel,0,(334) 222-6561,"1991 Dr MLK Jr Expy, Andalusia, AL, 36420 ",USA,AL
76,-86.4472847,31.3187358,Murphy: USA,7394,Gas/Diesel,0,(334) 222-3846,"1997 Dr MLK Jr Expy, Andalusia, AL, 36420 ",USA,AL
77,-85.819395,33.719758,Walmart Supercenter,0329,Gas,0,(256) 820-3326,"5560 McClellan Blvd, Anniston, AL, 36206 ",USA,AL
78,-85.8180352,33.7192029,Murphy: USA,5624,Gas,0,(256) 847-4040,"5564 McClellan Blvd, Anniston, AL, 36206 ",USA,AL
79,-86.500972,34.341907,Walmart Supercenter,0306,Gas/Diesel,0,(256) 586-8168,"1450 N Brindlee Mountain Pkwy, Arab, AL, 35016 ",USA,AL
80,-86.5026703,34.3428307,Murphy: USA,6890,Gas/Diesel,0,(256) 586-6070,"1468 N Brindlee Mountain Pkwy, Arab, AL, 35016 ",USA,AL
81,-86.958676,34.787751,Walmart Supercenter,0661,Gas,0,(256) 230-2981,"1011 Hwy 72 E; I-65 Exit 351 Athens, AL, 35611 ",USA,AL
82,-86.956765,34.788609,Murphy: USA,5625,Gas,0,(256) 216-9073,"800 Hwy 31 Athens, AL, 35611 ",USA,AL
83,-87.493024,31.035551,Walmart Supercenter,7247,Neither,0,(251) 368-1403,"911 N Main St, Atmore, AL, 36502 ",USA,AL
84,-86.093527,33.994538,Walmart Supercenter,0316,Gas,0,(256) 538-3811,"973 Gilbert Ferry Rd SE; I-59 Exit 181 Attalla, AL, 35954 ",USA,AL
85,-85.4993057,32.5712166,Murphy: USA,6562,Gas,0,(334) 502-7196,"1717 S College St; I-85 Exit 51 Auburn, AL, 36832 ",USA,AL
86,-85.497471,32.571045,Walmart Supercenter,0356,Gas,0,(334) 821-2493,"1717 S College St; I-85 Exit 51 Auburn, AL, 36830 ",USA,AL
87,-85.507812,32.601971,Wm Nbrhd Mkt,4673,Gas,0,(334) 539-6318,"1810 Shug Jordan Pkwy, Auburn, AL, 36832 ",USA,AL
88,-85.449951,32.624538,Wm Nbrhd Mkt,5062,Gas,0,(334) 539-6214,"2047 E University Dr, Auburn, AL, 36830 ",USA,AL
89,-85.430014,32.608515,Sam's Club,4989,Gas/Diesel,0,(334) 821-0121,"2335 Bent Creek Rd; I-85 Exit 57 Auburn, AL, 36830 ",USA,AL
90,-87.7880976,30.8845009,Murphy: USA,6735,Gas/Diesel,0,(251) 580-5189,"1000 W 7th, Bay Minette, AL, 36507 ",USA,AL
91,-87.789589,30.885155,Walmart Supercenter,2739,Gas/Diesel,0,(251) 937-5558,"701 McMeans Ave, Bay Minette, AL, 36507 ",USA,AL
92,-87.000752,33.361937,Walmart Supercenter,0764,Gas/Diesel,0,(205) 424-5890,"750 Academy Dr; I-20/59 Exit 108 Bessemer, AL, 35022 ",USA,AL
93,-86.999478,33.361967,Murphy: USA,7542,Gas/Diesel,0,(205) 428-2447,"756 Academy Dr; I-20/59 Exit 108 Bessemer, AL, 35022 ",USA,AL
94,-86.7015166,33.5865737,Murphy: USA,7022,Gas/Diesel,0,(205) 838-2277,"121 Roebuck Plaza Dr, Birmingham, AL, 35206 ",USA,AL
95,-86.684336,33.637771,Wm Nbrhd Mkt,5100,Neither,1,(205) 520-0269,"1916 Center Point Rd, Birmingham, AL, 35215 ",USA,AL
96,-86.924324,33.580015,Walmart Supercenter,1158,Neither,0,(205) 798-9721,"2473 Hackworth Rd, Birmingham, AL, 35005 ",USA,AL
97,-86.739678,33.383703,Wm Nbrhd Mkt,3424,Neither,1,(205) 582-6183,"2653 Valleydale Rd, Birmingham, AL, 35244 ",USA,AL
98,-86.820963,33.467775,Wm Nbrhd Mkt,4504,Neither,1,(205) 870-8101,"312 Palisades Blvd; I-65 Exit 256 Birmingham, AL, 35209 ",USA,AL
99,-86.675768,33.421066,Walmart Supercenter,2111,Neither,0,(205) 980-5156,"5335 Hwy 280 S, Birmingham, AL, 35242 ",USA,AL
100,-86.629063,33.639944,Walmart Supercenter,2713,Neither,0,(205) 661-1973,"5919 Trussville Crossings Pkwy; I-59 Exit 141 Birmingham, AL, 35235 ",USA,AL
101,-86.625486,33.64461,Sam's Club,4817,Gas,0,(205) 655-0505,"5940 Trussville Crossing Blvd; I-59 Exit 141 Birmingham, AL, 35235 ",USA,AL
102,-86.702787,33.588879,Walmart Supercenter,0762,Gas/Diesel,1,(205) 833-7676,"9248 Pkwy E; I-59 Exit 134 Birmingham, AL, 35215 ",USA,AL
103,-86.154183,34.214719,Walmart Supercenter,0298,Gas/Diesel,0,(256) 593-0195,"1972 Hwy 431 Boaz, AL, 35957 ",USA,AL
104,-86.156547,34.215927,Murphy: USA,6884,Gas/Diesel,0,(256) 593-0975,"2040 Hwy 431 Boaz, AL, 35957 ",USA,AL
105,-87.171218,32.963891,Walmart Supercenter,0425,Neither,0,(205) 926-4878,"10675 Hwy 5 Brent, AL, 35034 ",USA,AL
106,-87.071111,31.139671,Walmart Supercenter,1620,Neither,0,(251) 867-4680,"2578 Douglas Ave, Brewton, AL, 36426 ",USA,AL
107,-86.7498748,33.146051,Murphy: USA,6694,Gas/Diesel,0,(205) 668-2778,"169 Super Center Dr, Calera, AL, 35040 ",USA,AL
108,-86.749933,33.146733,Walmart Supercenter,3271,Gas/Diesel,0,(205) 668-0831,"5100 Hwy 31; I-65 Exit 231 Calera, AL, 35040 ",USA,AL
109,-85.713114,34.162109,Walmart Supercenter,5126,Gas/Diesel,0,(256) 927-9900,"1950 W Main St, Centre, AL, 35960 ",USA,AL
110,-85.7141867,34.161121,Murphy: USA,6924,Gas/Diesel,0,(256) 927-5670,"1960 W Main St, Centre, AL, 35960 ",USA,AL
111,-86.61854,33.349443,Murphy: USA,7545,Gas/Diesel,0,(205) 678-0590,"16073 Hwy 280 Chelsea, AL, 35043 ",USA,AL
112,-86.619256,33.348741,Walmart Supercenter,4330,Neither,0,(205) 678-2222,"16077 Hwy 280 Chelsea, AL, 35043 ",USA,AL
113,-86.6091614,32.819024,Murphy: USA,5686,Gas,0,(205) 280-4542,"1411 7th St S, Clanton, AL, 35045 ",USA,AL
114,-86.608656,32.81751,Walmart Supercenter,0424,Gas,0,(205) 755-7574,"1415 7th St S, Clanton, AL, 35045 ",USA,AL
115,-86.867642,34.206543,Walmart Supercenter,7280,Neither,0,(256) 615-6667,"5601 Hwy 157 Cullman, AL, 35058 ",USA,AL
116,-86.8416667,34.1515669,Murphy: USA,6770,Gas/Diesel,0,(256) 739-7143,"624 Olive St SW, Cullman, AL, 35055 ",USA,AL
117,-86.84217,34.150102,Walmart Supercenter,0670,Gas/Diesel,0,(256) 734-8904,"626 Olive St SW, Cullman, AL, 35055 ",USA,AL
118,-87.9055252,30.6250114,Murphy: USA,6619,Gas/Diesel,0,(251) 625-0940,"27521 Walmart Dr, Daphne, AL, 36526 ",USA,AL
119,-87.855036,30.659206,Sam's Club,4990,Gas/Diesel,0,(251) 626-6909,"29683 Frederick Blvd, Daphne, AL, 36526 ",USA,AL
120,-87.905836,30.625109,Walmart Supercenter,0934,Gas/Diesel,1,(251) 626-0923,"27520 Hwy 98 Daphne/lake Forest, AL, 36526 ",USA,AL
121,-86.980726,34.589341,Wm Nbrhd Mkt,2488,Neither,1,(256) 822-6366,"1203 6th Ave SE, Decatur, AL, 35601 ",USA,AL
122,-86.996774,34.556577,Walmart Supercenter,0662,Gas,0,(256) 350-4624,"2800 Spring Ave SW, Decatur, AL, 35603 ",USA,AL
123,-86.99665,34.556568,Murphy: USA,6500,Gas,0,(256) 301-1734,"2800 Spring Ave SW, Decatur, AL, 35603 ",USA,AL
124,-87.8490146,32.4968485,Murphy: USA,7274,Gas/Diesel,0,(334) 287-2199,"1057 Hwy 80 W, Demopolis, AL, 36732 ",USA,AL
125,-87.849767,32.493672,Walmart Supercenter,0731,Gas/Diesel,0,(334) 289-2385,"969 Hwy 80 W, Demopolis, AL, 36732 ",USA,AL
126,-85.403192,31.178689,Walmart Supercenter,2534,Gas/Diesel,0,(334) 702-1310,"3300 S Oates St, Dothan, AL, 36301 ",USA,AL
127,-85.4020668,31.177897,Murphy: USA,6740,Gas/Diesel,0,(334) 673-9393,"3370 S Oates St, Dothan, AL, 36301 ",USA,AL
128,-85.427009,31.244343,Sam's Club,8192,Gas,0,(334) 671-5005,"3440 Ross Clark Crl NW, Dothan, AL, 36303 ",USA,AL
129,-85.450272,31.232255,Wm Nbrhd Mkt,5769,Neither,0,(334) 547-6508,"3871 W Main St, Dothan, AL, 36305 ",USA,AL
130,-85.440582,31.267021,Walmart Supercenter,0604,Gas/Diesel,0,(334) 793-3099,"4310 Montgomery Hwy, Dothan, AL, 36303 ",USA,AL
131,-85.8486633,31.3409863,Murphy: USA,5716,Gas,0,(334) 347-0615,"600 Boll Weevil Circle, Enterprise, AL, 36330 ",USA,AL
132,-85.827301,31.315718,Walmart Supercenter,0734,Gas,0,(334) 347-5353,"600 Boll Weevil Circle, Enterprise, AL, 36330 ",USA,AL
133,-85.169277,31.843765,Walmart Supercenter,1638,Gas/Diesel,0,(334) 687-2218,"3176 S Eufaula Ave, Eufaula, AL, 36072 ",USA,AL
134,-85.1674238,31.8433604,Murphy: USA,7478,Gas/Diesel,0,(334) 687-0190,"3182 S Eufaula Ave, Eufaula, AL, 36027 ",USA,AL
135,-86.9149259,33.4660593,Murphy: USA,7380,Gas/Diesel,0,(205) 925-0365,"7203 Aaron Aronov Dr, Fairfield, AL, 35064 ",USA,AL
136,-87.851335,30.523594,Walmart Supercenter,4333,Neither,0,(251) 990-9006,"10040 County Rd 48 Fairhope, AL, 36533 ",USA,AL
137,-87.8524605,30.5214096,Murphy: USA,7506,Gas/Diesel,0,(251) 929-0695,"20390 Hwy 181 Fairhope, AL, 36532 ",USA,AL
138,-87.8091542,33.7337371,Murphy: USA,5746,Gas,0,(205) 932-2130,"3184 Hwy 171 N, Fayette, AL, 35555 ",USA,AL
139,-87.809441,33.731747,Walmart Supercenter,1052,Gas,0,(205) 932-5277,"3186 Hwy 171 N, Fayette, AL, 35555 ",USA,AL
140,-87.657927,34.818559,Wm Nbrhd Mkt,4188,Neither,1,(256) 712-6195,"1410 Florence Blvd, Florence, AL, 35630 ",USA,AL
141,-87.686623,34.841215,Walmart Supercenter,4187,Neither,0,(256) 712-6410,"2701 Cloverdale Rd, Florence, AL, 35633 ",USA,AL
142,-87.626348,34.834258,Walmart Supercenter,0766,Neither,0,(256) 767-7581,"3100 Hough Rd, Florence, AL, 35630 ",USA,AL
143,-87.633309,34.840258,Sam's Club,8196,Gas/Diesel,0,(256) 767-9960,"364 Cox Creek Pkwy, Florence, AL, 35630 ",USA,AL
144,-87.6834331,30.3830586,Murphy: USA,5720,Gas,0,(251) 971-2411,"2180 S McKenzie St, Foley, AL, 36535 ",USA,AL
145,-87.685801,30.382455,Walmart Supercenter,0904,Gas,0,(251) 943-3400,"2200 S Mckenzie St, Foley, AL, 36535 ",USA,AL
146,-85.7594711,34.4385519,Murphy: USA,5811,Gas,0,(256) 845-7728,"1915 Glenn Blvd SW, Fort Payne, AL, 35968 ",USA,AL
147,-85.760699,34.439762,Walmart Supercenter,0691,Gas,0,(256) 845-3163,"2001 Glenn Blvd SW; I-59 Exit 218 Fort Payne, AL, 35968 ",USA,AL
148,-85.98755,34.01215,Walmart Supercenter,0301,Neither,0,(256) 547-2637,"340 E Meighan Blvd, Gadsden, AL, 35903 ",USA,AL
149,-86.823856,33.647208,Walmart Supercenter,1201,Gas/Diesel,0,(205) 631-8110,"890 Odum Rd; I-65 Exit 271 Gardendale, AL, 35071 ",USA,AL
150,-86.8244629,33.6484947,Murphy: USA,6891,Gas/Diesel,0,(205) 608-3699,"916 Odum Rd; I-65 exit 271 Gardendale, AL, 35071 ",USA,AL
151,-85.89959,31.051002,Walmart,1063,Neither,0,(334) 684-3681,"1608 W Magnolia Ave: I-65 Exit 130 Geneva, AL, 36340 ",USA,AL
152,-86.646321,31.849455,Walmart Supercenter,1462,Gas/Diesel,0,(334) 382-2655,"501 Willow Lane: I-65 Exit 130 Greenville, AL, 36037 ",USA,AL
153,-86.6433556,31.851503,Murphy: USA,7087,Gas/Diesel,0,(334) 382-0036,"701 Willow Lane; I-65 Exit 130 Greenville, AL, 36037 ",USA,AL
154,-87.6868878,30.264755,Murphy: USA,7079,Gas/Diesel,0,(251) 540-7602,"140 E Fort Morgan Rd, Gulf Shores, AL, 36542 ",USA,AL
155,-87.686455,30.266434,Walmart Supercenter,2748,Gas/Diesel,1,(251) 968-5871,"170 E Fort Morgan Rd, Gulf Shores, AL, 36542 ",USA,AL
156,-86.27847,34.300251,Walmart Supercenter,0681,Gas,0,(256) 878-0685,"11697 Hwy 431 Guntersville, AL, 35976 ",USA,AL
157,-86.2794189,34.3012543,Murphy: USA,5786,Gas,0,(256) 891-1099,"11705 Hwy 431 Guntersville, AL, 35976 ",USA,AL
158,-87.598816,34.239773,Walmart Supercenter,0409,Neither,0,(205) 486-9498,"42466 Hwy 195 Haleyville, AL, 35565 ",USA,AL
159,-87.990125,34.119895,Walmart Supercenter,1100,Neither,0,(205) 921-3090,"1706 Military St. S, Hamilton, AL, 35570 ",USA,AL
160,-86.948615,34.453313,Walmart Supercenter,1124,Gas/Diesel,0,(256) 773-1675,"1201 Hwy 31 NW, Hartselle, AL, 35640 ",USA,AL
161,-86.9476242,34.4543839,Murphy: USA,6599,Gas/Diesel,0,(256) 773-0420,"1213 Hwy 31 NW, Hartselle, AL, 35640 ",USA,AL
162,-86.57179,34.943577,Walmart Supercenter,6878,Gas,0,(256) 828-0486,"14595 N Hwy 231/432 N, Hazel Green, AL, 35750 ",USA,AL
163,-86.851306,33.27955,Wm Nbrhd Mkt,4189,Neither,1,(205) 624-1640,"335 Helena Market Pl, Helena, AL, 35080 ., ",USA,AL
164,-86.819967,33.448284,Sam's Club,8247,Gas,0,(205) 941-3326,"201 Lakeshore Pkwy, Homewood, AL, 35209 ",USA,AL
165,-86.821477,33.447699,Walmart Supercenter,1481,Neither,0,(205) 945-8692,"209 Lakeshore Pkwy; I-65 Exit 255 Homewood, AL, 35209 ",USA,AL
166,-86.82546,33.362717,Walmart Supercenter,1229,Neither,1,(205) 733-0303,"2780 John Hawkins Pkwy; I-459 Exit 10 Hoover, AL, 35244 ",USA,AL
167,-86.808073,33.373856,Sam's Club,4724,Gas,0,(205) 982-0596,"3053 John Hawkins Pkwy; I-459 Exit 10 Hoover, AL, 35244 ",USA,AL
168,-86.798124,33.393198,Wm Nbrhd Mkt,3184,Neither,1,(205) 909-4306,"3320 Lorna Rd, Hoover, AL, 35216 ",USA,AL
169,-86.968613,33.458664,Walmart Supercenter,4497,Neither,0,(205) 744-9997,"1007 Red Farmer Dr, Hueytown, AL, 35023 ",USA,AL
170,-86.597427,34.786949,Wm Pharmacy/Clinic,7254,Neither,0,(256) 746-1638,"1 Cottonwood Dr NW, Huntsville, AL, 35810 ",USA,AL
171,-86.5701447,34.6158867,Murphy: USA,5667,Gas,0,(256) 880-5180,"11610 Memorial Pkwy S, Huntsville, AL, 35803 ",USA,AL
172,-86.569318,34.615841,Walmart Supercenter,0434,Gas,0,(256) 881-0581,"11610 Memorial Pkwy S, Huntsville, AL, 35803 ",USA,AL
173,-86.5933075,34.7632942,Murphy: USA,7029,Gas/Diesel,0,(256) 851-1674,"2150 Sparkman Dr NW, Huntsville, AL, 35810 ",USA,AL
174,-86.492693,34.818134,Walmart Supercenter,7324,Neither,0,(256) 716-6773,"2165 Winchester Rd NE, Huntsville, AL, 35811 ",USA,AL
175,-86.592125,34.764268,Walmart Supercenter,0433,Gas/Diesel,1,(256) 852-2236,"2200 Sparkman Dr, Huntsville, AL, 35810 ",USA,AL
176,-86.571387,34.642811,Sam's Club,8107,Gas,0,(256) 881-8186,"2235 National Blvd, Huntsville, AL, 35810 ",USA,AL
177,-86.62637,34.711967,Wm Nbrhd Mkt,5925,Gas/Diesel,0,(256) 755-3080,"2305 Jordan Ln SW, Huntsville, AL, 35805 ",USA,AL
178,-86.585134,34.702931,Walmart Supercenter,0375,Neither,1,(256) 536-2870,"3031 Memorial Pkwy SW, Huntsville, AL, 35801 ",USA,AL
